Dataset,Layers,Attention_Type,Final_CrossEntropy,Final_KLDivergence
Markov,1,attention-only,0.967802,0.021358
Markov,1,standard,0.968040,0.040223
Markov,1,linear,0.967473,0.010600
Markov,1,performer,0.968111,0.002647
Markov,2,attention-only,0.967259,0.009936
Markov,2,standard,0.968173,0.008986
Markov,2,linear,0.967459,0.012646
Markov,2,performer,0.967805,0.002056
ICL-Markov,1,attention-only,0.993353,0.000000
ICL-Markov,1,standard,0.987464,0.000000
ICL-Markov,1,linear,0.988756,0.000000
ICL-Markov,1,performer,0.989037,0.000000
ICL-Markov,2,attention-only,0.912362,0.000000
ICL-Markov,2,standard,0.901226,0.000000
ICL-Markov,2,linear,0.909366,0.000000
ICL-Markov,2,performer,0.901534,0.000000
HMM,1,attention-only,1.004501,0.000000
HMM,1,standard,1.004534,0.000000
HMM,1,linear,1.004785,0.000000
HMM,1,performer,1.004277,0.000000
HMM,2,attention-only,1.004390,0.000000
HMM,2,standard,1.004617,0.000000
HMM,2,linear,1.004111,0.000000
HMM,2,performer,1.004772,0.000000
